TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
HFCL,HFCL,Telecom,S,8.58955223880597,1.2117647058823529,6.117269420072758,4.246974869562817,2.760272791996103,8.363128258003705,1.3755088195386707,[3.90499811 3.83636435 4.09199574],[5.15730923 5.13054222 5.11399323],[2.25643252 2.22558933 2.20755105],[8.54064049 8.52802563 8.52682878]
ITI,ITI,Telecom,S,4.962686567164178,1.0,6.117269420072758,4.261509298537815,10.0,1.4611122264369518,3.065298507462687,[3.8783729  3.93997449 3.80516533],[4.99356673 5.04379535 5.07946311],[2.16724099 2.17855141 2.19085507],[8.54167096 8.57312364 8.59076676]
HATHWAY,Hathway,Telecom,S,6.3731343283582085,1.0,6.117269420072758,4.222005465939102,3.8059954284857795,7.36618539064752,2.2289379548538304,[3.71304193 3.60475579 3.19364996],[4.97469357 5.02371551 4.96050785],[2.20463861 2.17205118 2.16983843],[8.89950906 8.81873212 8.77401699]
MTNL,MTNL,Telecom,S,3.5522388059701497,1.0,6.117269420072758,3.201655424990568,2.281657735976318,8.819417382536697,4.346306442471189,[3.09417986 3.01885868 3.02326491],[1.13452852 1.07167095 1.11788422],[1.99114082 1.8928388  1.88748885],[8.40946214 8.32812615 8.33080693]
CIPLA,Cipla,Pharma,L,1.0,1.450920245398773,4.449390113417505,2.3151514039946446,7.425594104653821,3.300016832488384,10.0,[5.12990572 4.98517449 4.97081916],[5.67871929 5.62810559 5.59805559],[1.2716016  1.24747773 1.23271357],[3.57133394 3.37468604 3.22718719]
DRREDDY,Dr Reddys,Pharma,L,2.9392265193370166,1.5337423312883436,4.449390113417505,4.4592740678245875,7.461602178383732,3.2624711232581367,1.1765193370165745,[5.272168   5.26821199 5.06439432],[5.70262902 5.5865006  5.57636101],[1.27157102 1.23001736 1.22458111],[3.68872383 3.31765884 3.30223865]
SUNPHARMA,Sun Pharma,Pharma,L,4.18232044198895,1.7453987730061349,4.449390113417505,1.8404159712414945,1.0,10.0,1.0895027624309392,[4.74713979 5.28149786 5.33241391],[5.71868497 5.5689668  5.52248258],[1.26365209 1.21288381 1.19455478],[3.58005702 3.0786587  2.87224712]
BIOCON,Biocon,Pharma,M,2.6171875000000004,1.0,4.449390113417505,2.1293946796654244,8.651896143504956,1.0547110716828092,5.644027217741936,[6.11760917 5.61002129 5.56471525],[9.14698424 9.1473165  9.15155183],[3.20039213 3.19892158 3.20318431],[6.38497444 6.36938367 6.36512272]
LUPIN,Lupin,Pharma,M,3.4609375000000004,1.936802973977695,4.449390113417505,3.757275214175551,5.9418194951643315,3.779864031281234,4.446262668918919,[5.97734093 6.22482214 5.75041492],[9.23274664 9.26316969 9.31535296],[3.40009163 3.44567411 3.51626408],[6.03386173 6.13565082 6.24131237]
ZYDUSLIFE,Cadila,Pharma,M,3.0390625000000004,2.070631970260223,4.449390113417505,2.5693185783921915,6.208435330470724,3.511764996847688,4.992302389705882,[7.79085852 6.81066598 8.20838921],[9.29397315 9.28337465 9.26426616],[3.45173277 3.4368002  3.3998489 ],[6.52877139 6.56717587 6.53197399]
GRANULES,Granules,Pharma,S,3.9552238805970146,1.5647058823529412,4.449390113417505,4.457620568126398,2.8385805823059918,8.16463519133425,3.9157155399473225,[4.42914819 4.13240982 4.1167226 ],[5.50567142 5.29309637 5.24870688],[2.39157582 2.2943909  2.27241045],[8.6627175  8.6235553  8.62284213]
FDC,FDC,Pharma,S,1.8059701492537314,1.0,4.449390113417505,4.474184019949758,2.9135159440926293,8.076180232260583,7.338777809067867,[3.48135753 3.70643421 3.68715246],[5.22732137 5.16578963 5.15767338],[2.22144387 2.19418095 2.19006579],[8.67018928 8.65389887 8.65512015]
ALEMBICLTD,Alembic,Pharma,S,4.425373134328359,1.2941176470588236,4.449390113417505,4.252482217294085,4.215880391201709,6.538847374696726,3.4843445814406233,[3.44222446 3.11067648 3.10847421],[4.96193632 4.95459845 4.94972039],[2.07327356 2.07081703 2.06891486],[9.04789681 8.891522   8.83523472]
